Geno,Block,Row,Col,BF1_2010,BF2_2010,BF_ave_2010
BESC-234,C,21,62,0,1,0.5
BESC-235,A,28,32,1,0,0.5
BESC-235,C,20,52,0,1,0.5
BESC-235,B,39,19,0,0,0
BESC-236,A,18,28,0,1,0.5
BESC-236,B,73,25,0,2,1
BESC-236,C,26,48,0,1,0.5
BESC-237,B,60,10,0,1,0.5
BESC-237,A,34,28,0,1,0.5
BESC-238,A,29,9,0,1,0.5
BESC-238,C,14,57,0,2,1
BESC-238,B,68,8,1,2,1.5
BESC-239,B,72,5,0,1,0.5
BESC-239,A,13,30,0,1,0.5
BESC-239,C,33,51,0,0,0
BESC-24,B,57,18,0,0,0
BESC-24,A,10,7,0,0,0
BESC-24,C,34,55,0,0,0
BESC-240,B,49,27,0,1,0.5
BESC-240,A,7,21,0,0,0
BESC-240,C,3,37,0,1,0.5
BESC-241,C,2,33,0,1,0.5
BESC-241,B,76,24,0,2,1
BESC-241,A,23,18,0,1,0.5
BESC-242,A,32,18,0,1,0.5
BESC-242,B,48,20,0,1,0.5
BESC-242,C,24,44,0,1,0.5
BESC-243,B,57,28,0,0,0
BESC-243,A,18,10,0,0,0
BESC-243,C,32,60,0,1,0.5
BESC-244,B,61,22,0,1,0.5
BESC-244,A,19,28,0,1,0.5
BESC-244,C,25,60,0,0,0
BESC-245,C,35,43,1,1,1
BESC-245,B,73,11,0,1,0.5
BESC-245,A,23,5,0,1,0.5
BESC-246,A,14,5,0,0,0
BESC-246,B,73,10,0,0,0
BESC-246,C,14,32,0,0,0
BESC-249,B,53,16,0,2,1
BESC-249,A,24,17,1,1,1
BESC-249,C,27,56,0,2,1
BESC-25,C,32,46,0,1,0.5
BESC-25,A,28,21,0,0,0
BESC-250,B,66,16,0,1,0.5
BESC-250,C,3,48,0,1,0.5
BESC-250,A,37,15,0,0,0
BESC-251,B,75,5,0,2,1
BESC-251,A,25,15,0,0,0
BESC-251,C,23,40,0,2,1
BESC-252,A,26,20,0,0,0
BESC-252,B,61,25,0,1,0.5
BESC-252,C,13,41,0,0,0
BESC-253,C,2,60,0,1,0.5
BESC-253,A,31,30,0,0,0
BESC-253,B,63,18,0,1,0.5
BESC-254,B,58,5,0,1,0.5
BESC-254,A,4,27,0,1,0.5
BESC-254,C,18,54,0,1,0.5
BESC-255,A,17,27,0,1,0.5
BESC-255,B,72,19,0,1,0.5
BESC-255,C,7,58,0,0,0
BESC-256,B,63,14,0,0,0
BESC-256,C,28,46,0,1,0.5
BESC-256,A,6,14,0,1,0.5
BESC-257,B,59,10,0,0,0
BESC-257,A,14,2,0,0,0
BESC-257,C,19,42,0,1,0.5
BESC-258,C,10,53,0,1,0.5
BESC-258,A,14,9,0,1,0.5
BESC-259,C,8,42,0,1,0.5
BESC-259,A,33,13,0,1,0.5
BESC-259,B,71,22,0,1,0.5
BESC-26,A,33,19,1,2,1.5
BESC-26,C,25,35,0,2,1
BESC-26,B,38,29,0,2,1
BESC-260,A,19,5,0,0,0
BESC-260,B,50,13,0,0,0
BESC-261,A,19,6,0,0,0
BESC-261,B,70,2,0,1,0.5
BESC-261,C,10,49,0,1,0.5
BESC-262,C,5,41,0,1,0.5
BESC-262,B,62,3,0,2,1
BESC-262,A,34,29,0,0,0
BESC-264,B,74,15,0,0,0
BESC-264,C,21,39,0,0,0
BESC-264,A,8,12,0,0,0
BESC-265,C,22,51,0,0,0
BESC-265,A,20,24,0,0,0
BESC-265,B,52,24,0,1,0.5
BESC-266,A,13,14,0,0,0
BESC-266,B,56,25,0,0,0
BESC-266,C,33,59,0,0,0
BESC-267,B,57,4,0,1,0.5
BESC-267,A,25,9,0,0,0
BESC-267,C,30,51,0,0,0
BESC-268,C,32,62,0,0,0
BESC-268,A,9,20,0,1,0.5
BESC-268,B,44,23,0,1,0.5
BESC-269,C,4,51,0,0,0
BESC-269,A,32,26,0,1,0.5
BESC-269,B,65,29,0,1,0.5
BESC-27,B,73,7,0,1,0.5
BESC-27,A,10,10,0,1,0.5
BESC-27,C,36,52,0,1,0.5
BESC-270,C,34,36,0,0,0
BESC-270,A,5,21,0,0,0
BESC-270,B,64,2,0,2,1
BESC-271,B,76,26,0,1,0.5
BESC-271,C,3,35,0,1,0.5
BESC-271,A,11,14,0,1,0.5
BESC-272,C,8,59,0,1,0.5
BESC-272,B,52,20,0,0,0
BESC-272,A,27,30,1,1,1
BESC-273,A,8,2,1,3,2
BESC-273,B,72,18,1,3,2
BESC-273,C,10,33,0,2,1
BESC-274,B,52,10,0,1,0.5
BESC-274,A,3,2,1,1,1
BESC-274,C,18,47,0,1,0.5
BESC-275,B,68,22,0,1,0.5
BESC-275,C,9,51,0,1,0.5
BESC-275,A,35,11,0,1,0.5
BESC-276,B,51,11,1,2,1.5
BESC-276,A,32,24,1,1,1
BESC-276,C,4,56,0,2,1
BESC-277,A,35,5,0,0,0
BESC-277,B,54,11,0,0,0
BESC-277,C,20,46,0,0,0
BESC-278,B,47,10,0,2,1
BESC-278,C,12,46,0,1,0.5
BESC-278,A,33,3,0,2,1
BESC-279,B,38,9,0,2,1
BESC-279,A,37,24,0,2,1
BESC-279,C,28,54,0,2,1
BESC-28,B,75,28,0,1,0.5
BESC-28,C,18,48,0,1,0.5
BESC-28,A,26,18,0,1,0.5
BESC-280,B,46,16,0,0,0
BESC-280,C,2,36,0,0,0
BESC-281,A,37,26,0,0,0
BESC-281,B,53,26,0,0,0
BESC-281,C,10,55,0,1,0.5
BESC-282,B,60,19,1,1,1
BESC-282,C,27,60,0,1,0.5
BESC-282,A,33,15,0,1,0.5
BESC-283,B,63,16,0,1,0.5
BESC-283,C,30,34,0,1,0.5
BESC-284,C,11,38,0,1,0.5
BESC-284,B,50,10,0,1,0.5
BESC-284,A,13,12,0,0,0
BESC-286,A,20,20,0,0,0
BESC-286,C,5,53,0,0,0
BESC-286,B,40,14,0,1,0.5
BESC-287,C,22,57,0,0,0
BESC-287,A,34,27,0,1,0.5
BESC-287,B,39,17,0,1,0.5
BESC-288,A,23,14,0,1,0.5
BESC-288,B,69,25,0,1,0.5
BESC-288,C,21,50,0,1,0.5
BESC-289,A,35,13,0,0,0
BESC-289,B,67,7,0,1,0.5
BESC-289,C,11,51,0,1,0.5
BESC-29,C,26,59,0,2,1
BESC-29,B,49,15,1,3,2
BESC-29,A,20,30,0,3,1.5
BESC-290,B,45,24,0,1,0.5
BESC-290,A,27,8,0,0,0
BESC-290,C,33,56,0,1,0.5
BESC-291,A,19,12,0,1,0.5
BESC-291,C,29,42,0,0,0
BESC-291,B,65,19,0,1,0.5
BESC-292,B,58,20,0,0,0
BESC-292,C,6,35,0,1,0.5
BESC-292,A,25,25,0,1,0.5
BESC-293,C,17,34,0,1,0.5
BESC-293,B,51,23,0,2,1
BESC-293,A,22,21,0,1,0.5
BESC-294,C,35,46,0,2,1
BESC-294,A,12,25,0,1,0.5
BESC-294,B,38,23,0,1,0.5
BESC-295,A,18,4,0,0,0
BESC-295,C,34,44,0,0,0
BESC-296,A,37,17,0,2,1
BESC-296,B,65,5,0,2,1
BESC-296,C,21,41,0,0,0
BESC-297,B,52,5,0,2,1
BESC-297,C,24,61,0,2,1
BESC-297,A,2,15,1,1,1
BESC-298,A,25,30,0,1,0.5
BESC-298,B,70,3,0,1,0.5
BESC-298,C,12,39,0,0,0
BESC-299,B,60,16,0,0,0
BESC-299,C,9,48,1,0,0.5
BESC-299,A,7,9,0,1,0.5
BESC-3,C,9,61,0,1,0.5
BESC-3,B,41,16,0,1,0.5
BESC-3,A,32,8,0,1,0.5
BESC-30,B,53,7,0,1,0.5
BESC-30,C,28,45,0,0,0
BESC-30,A,10,31,0,1,0.5
BESC-301,B,43,22,0,0,0
BESC-301,A,22,28,0,0,0
BESC-301,C,36,46,0,0,0
BESC-302,A,13,18,0,1,0.5
BESC-302,C,32,59,0,0,0
BESC-302,B,76,8,0,1,0.5
BESC-303,C,33,54,1,1,1
BESC-303,B,57,17,0,1,0.5
BESC-303,A,30,24,0,0,0
BESC-304,B,45,10,0,2,1
BESC-304,C,8,45,0,2,1
BESC-304,A,12,3,0,2,1
BESC-305,C,32,45,0,0,0
BESC-305,B,47,14,0,0,0
BESC-305,A,35,7,0,1,0.5
BESC-306,B,72,4,0,0,0
BESC-306,C,27,49,0,0,0
BESC-306,A,2,13,0,0,0
BESC-307,A,31,6,0,1,0.5
BESC-307,C,27,41,0,1,0.5
BESC-307,B,62,14,0,1,0.5
BESC-308,A,26,29,1,0,0.5
BESC-308,C,10,41,0,0,0
BESC-308,B,41,2,0,0,0
BESC-309,A,3,30,0,1,0.5
BESC-309,B,64,27,0,1,0.5
BESC-309,C,20,54,0,1,0.5
BESC-31,C,24,53,0,1,0.5
BESC-31,A,30,28,1,1,1
BESC-31,B,45,9,0,1,0.5
BESC-311,C,22,56,0,1,0.5
BESC-311,A,4,3,0,2,1
BESC-311,B,73,12,0,2,1
BESC-312,B,70,6,0,0,0
BESC-312,A,35,9,0,1,0.5
BESC-312,C,2,42,0,0,0
BESC-313,B,67,10,1,1,1
BESC-313,C,35,42,1,2,1.5
BESC-313,A,10,18,1,1,1
BESC-314,C,28,59,0,0,0
BESC-314,B,44,2,0,1,0.5
BESC-314,A,28,28,0,0,0
BESC-315,A,10,24,0,1,0.5
BESC-315,C,9,59,0,2,1
BESC-315,B,48,8,1,2,1.5
BESC-316,A,15,4,0,1,0.5
BESC-316,B,48,13,0,1,0.5
BESC-317,B,49,19,0,1,0.5
BESC-317,C,11,57,0,1,0.5
BESC-317,A,22,12,0,0,0
BESC-318,A,36,17,0,0,0
BESC-318,C,17,43,0,0,0
BESC-318,B,40,26,0,0,0
BESC-319,A,20,22,0,1,0.5
BESC-319,C,29,35,0,1,0.5
BESC-319,B,70,28,0,2,1
BESC-32,A,12,15,0,0,0
BESC-32,B,42,26,0,0,0
BESC-32,C,14,34,0,1,0.5
BESC-320,A,7,22,0,0,0
BESC-320,B,43,10,1,1,1
BESC-320,C,10,57,0,1,0.5
BESC-321,B,75,25,0,0,0
BESC-321,C,16,38,0,1,0.5
BESC-321,A,7,2,0,1,0.5
BESC-322,B,74,12,0,0,0
BESC-322,C,26,35,0,0,0
BESC-322,A,14,12,0,0,0
BESC-323,B,54,24,0,2,1
BESC-323,C,19,51,0,0,0
BESC-323,A,14,8,0,0,0
BESC-324,C,14,35,0,1,0.5
BESC-324,B,61,4,0,0,0
BESC-324,A,20,16,0,0,0
BESC-325,A,30,30,1,1,1
BESC-325,C,15,41,0,0,0
BESC-325,B,46,9,0,1,0.5
BESC-326,A,12,16,0,1,0.5
BESC-327,B,49,21,0,1,0.5
BESC-327,C,12,33,0,0,0
BESC-327,A,8,13,0,0,0
BESC-328,A,37,12,0,0,0
BESC-328,C,29,50,0,1,0.5
BESC-328,B,60,29,0,1,0.5
BESC-329,A,20,13,0,1,0.5
BESC-329,B,61,6,0,1,0.5
BESC-329,C,25,44,0,1,0.5
BESC-33,B,54,2,0,1,0.5
BESC-33,C,26,34,0,1,0.5
BESC-330,A,31,31,0,0,0
BESC-330,C,33,50,0,2,1
BESC-330,B,71,9,1,2,1.5
BESC-331,B,50,17,0,0,0
BESC-331,C,15,40,0,0,0
BESC-331,A,12,7,0,1,0.5
BESC-332,B,48,2,0,0,0
BESC-332,A,35,23,0,0,0
BESC-332,C,25,34,0,0,0
BESC-333,A,31,23,0,0,0
BESC-333,B,74,10,0,0,0
BESC-333,C,32,57,0,1,0.5
BESC-334,A,21,25,0,1,0.5
BESC-334,C,9,60,0,1,0.5
BESC-334,B,74,7,1,1,1
BESC-335,B,51,20,0,1,0.5
BESC-335,A,9,10,0,0,0
BESC-335,C,23,33,0,0,0
